Data,Cidade,Novos,Total
2020-04-18,Indaiatuba,0,30
2020-04-18,Itatiba,0,0
2020-04-18,Jaguariúna,0,2
2020-04-18,Monte Mor,0,2
2020-04-18,Morungaba,0,4
2020-04-18,Nova Odessa,0,0
2020-04-18,Paulínia,0,11
2020-04-18,Pedreira,0,0
2020-04-18,Santa Bárbara D'oeste,0,0
2020-04-18,Santo Antônio De Posse,0,0
2020-04-18,Sumaré,6,16
2020-04-18,Valinhos,2,18
2020-04-18,Vinhedo,0,14
2020-04-19,Americana,0,23
2020-04-19,Artur Nogueira,0,1
2020-04-19,Campinas,0,163
2020-04-19,Cosmópolis,0,0
2020-04-19,Engenheiro Coelho,0,0
2020-04-19,Holambra,0,2
2020-04-19,Hortolândia,0,14
2020-04-19,Indaiatuba,0,30
2020-04-19,Itatiba,0,0
2020-04-19,Jaguariúna,0,2
2020-04-19,Monte Mor,0,2
2020-04-19,Morungaba,0,4
2020-04-19,Nova Odessa,0,0
2020-04-19,Paulínia,0,11
2020-04-19,Pedreira,0,0
2020-04-19,Santa Bárbara D'oeste,0,0
2020-04-19,Santo Antônio De Posse,0,0
2020-04-19,Sumaré,0,16
2020-04-19,Valinhos,0,18
2020-04-19,Vinhedo,0,14
2020-04-20,Americana,0,23
2020-04-20,Artur Nogueira,0,1
2020-04-20,Campinas,14,177
2020-04-20,Cosmópolis,0,0
2020-04-20,Engenheiro Coelho,0,0
2020-04-20,Holambra,0,2
2020-04-20,Hortolândia,3,17
2020-04-20,Indaiatuba,0,30
2020-04-20,Itatiba,0,0
2020-04-20,Jaguariúna,1,3
2020-04-20,Monte Mor,0,2
2020-04-20,Morungaba,0,4
2020-04-20,Nova Odessa,0,0
2020-04-20,Paulínia,0,11
2020-04-20,Pedreira,0,0
2020-04-20,Santa Bárbara D'oeste,0,0
2020-04-20,Santo Antônio De Posse,0,0
2020-04-20,Sumaré,0,16
2020-04-20,Valinhos,0,18
2020-04-20,Vinhedo,0,14
2020-04-21,Americana,2,25
2020-04-21,Artur Nogueira,0,1
2020-04-21,Campinas,0,177
2020-04-21,Cosmópolis,0,0
2020-04-21,Engenheiro Coelho,0,0
2020-04-21,Holambra,0,2
2020-04-21,Hortolândia,3,20
2020-04-21,Indaiatuba,2,32
2020-04-21,Itatiba,0,0
2020-04-21,Jaguariúna,2,5
